,movie_id,original_title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,profit,roi,release_year,is_sucssfull
59,14161,2012,2009-10-10,200000000,769653595,158.0,5.6,4903,45.274225,569653595,2.85,2009,1
60,17979,A Christmas Carol,2009-11-04,200000000,325233863,96.0,6.6,1095,39.744242,125233863,0.63,2009,1
61,76757,Jupiter Ascending,2015-02-04,176000003,183987723,124.0,5.2,2768,85.36908,7987720,0.05,2015,1
62,258489,The Legend of Tarzan,2016-06-29,180000000,356743061,109.0,5.5,2430,42.741719,176743061,0.98,2016,1
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,180000000,748806957,143.0,6.7,2629,67.391328,568806957,3.16,2005,1
64,246655,X-Men: Apocalypse,2016-05-18,178000000,543934787,144.0,6.4,4721,139.272042,365934787,2.06,2016,1
65,155,The Dark Knight,2008-07-16,185000000,1004558444,152.0,8.2,12002,187.322927,819558444,4.43,2008,1
66,14160,Up,2009-05-13,175000000,735099082,96.0,7.7,6870,92.201962,560099082,3.2,2009,1
67,15512,Monsters vs Aliens,2009-03-19,175000000,381509870,94.0,6.0,1423,36.167578,206509870,1.18,2009,1
68,1726,Iron Man,2008-04-30,140000000,585174222,126.0,7.4,8776,120.725053,445174222,3.18,2008,1
69,44826,Hugo,2011-11-22,170000000,185770160,126.0,7.0,2141,32.319043,15770160,0.09,2011,1
70,8487,Wild Wild West,1999-06-29,170000000,222104681,106.0,5.1,1020,40.748915,52104681,0.31,1999,1
71,1735,The Mummy: Tomb of the Dragon Emperor,2008-07-01,145000000,401128639,112.0,5.2,1387,60.034162,256128639,1.77,2008,1
72,297761,Suicide Squad,2016-08-02,175000000,745000000,123.0,5.9,7458,90.23792,570000000,3.26,2016,1
73,2698,Evan Almighty,2007-06-09,175000000,173000000,96.0,5.3,1151,27.082182,-2000000,-0.01,2007,0
74,137113,Edge of Tomorrow,2014-05-27,178000000,370541256,113.0,7.6,4858,79.456485,192541256,1.08,2014,1
75,9804,Waterworld,1995-07-28,175000000,264218220,135.0,5.9,992,44.640292,89218220,0.51,1995,1
76,14869,G.I. Joe: The Rise of Cobra,2009-08-04,175000000,302469017,118.0,5.6,1962,32.852443,127469017,0.73,2009,1
77,150540,Inside Out,2015-06-09,175000000,857611174,94.0,8.0,6560,128.655964,682611174,3.9,2015,1
78,278927,The Jungle Book,2016-04-07,175000000,966550600,106.0,6.7,2892,94.199316,791550600,4.52,2016,1
79,10138,Iron Man 2,2010-04-28,200000000,623933331,124.0,6.6,6849,77.300194,423933331,2.12,2010,1
80,58595,Snow White and the Huntsman,2012-05-30,170000000,396600000,127.0,5.8,3118,77.178973,226600000,1.33,2012,1
81,102651,Maleficent,2014-05-28,180000000,758539785,97.0,7.0,4496,110.620647,578539785,3.21,2014,1
82,119450,Dawn of the Planet of the Apes,2014-06-26,170000000,710644566,130.0,7.3,4410,243.791743,540644566,3.18,2014,1
83,79698,The Lovers,2015-02-13,27000000,0,109.0,4.8,34,2.418535,-27000000,-1.0,2015,0
84,64686,47 Ronin,2013-12-06,175000000,150962475,119.0,5.9,1326,41.796339,-24037525,-0.14,2013,0
85,100402,Captain America: The Winter Soldier,2014-03-20,170000000,714766572,136.0,7.6,5764,72.225265,544766572,3.2,2014,1
86,10192,Shrek Forever After,2010-05-16,165000000,752600867,93.0,6.0,1959,44.041186,587600867,3.56,2010,1
87,158852,Tomorrowland,2015-05-19,190000000,209154322,130.0,6.2,2846,130.311355,19154322,0.1,2015,1
88,177572,Big Hero 6,2014-10-24,165000000,652105443,102.0,7.8,6135,203.73459,487105443,2.95,2014,1
89,82690,Wreck-It Ralph,2012-11-01,165000000,471222889,108.0,7.1,4570,62.341073,306222889,1.86,2012,1
90,5255,The Polar Express,2004-11-10,165000000,305875730,100.0,6.4,1474,47.323228,140875730,0.85,2004,1
91,47933,Independence Day: Resurgence,2016-06-22,165000000,389681935,120.0,4.9,2491,48.775723,224681935,1.36,2016,1
92,10191,How to Train Your Dragon,2010-03-05,165000000,494878759,98.0,7.5,4227,67.263269,329878759,2.0,2010,1
93,296,Terminator 3: Rise of the Machines,2003-07-02,200000000,435000000,109.0,5.9,2143,69.405188,235000000,1.17,2003,1
94,118340,Guardians of the Galaxy,2014-07-30,170000000,773328629,121.0,7.9,9742,481.098624,603328629,3.55,2014,1
95,157336,Interstellar,2014-11-05,165000000,675120017,169.0,8.1,10867,724.247784,510120017,3.09,2014,1
96,27205,Inception,2010-07-14,160000000,825532764,148.0,8.1,13752,167.58371,665532764,4.16,2010,1
97,315011,シン・ゴジラ,2016-07-29,15000000,77000000,120.0,6.5,143,9.476999,62000000,4.13,2016,1
98,49051,The Hobbit: An Unexpected Journey,2012-11-26,250000000,1021103568,169.0,7.0,8297,108.849621,771103568,3.08,2012,1
99,9799,The Fast and the Furious,2001-06-22,38000000,207283925,106.0,6.6,3428,6.909942,169283925,4.45,2001,1
100,4922,The Curious Case of Benjamin Button,2008-11-24,150000000,333932083,166.0,7.3,3292,60.269279,183932083,1.23,2008,1
101,49538,X-Men: First Class,2011-05-24,160000000,353624124,132.0,7.1,5181,3.195174,193624124,1.21,2011,1
102,131634,The Hunger Games: Mockingjay - Part 2,2015-11-18,160000000,653428261,137.0,6.6,3984,127.284427,493428261,3.08,2015,1
103,27022,The Sorcerer's Apprentice,2010-07-13,150000000,215283742,109.0,5.8,1470,35.580815,65283742,0.44,2010,1
104,503,Poseidon,2006-05-12,160000000,181674817,99.0,5.5,583,21.133748,21674817,0.14,2006,1
105,241259,Alice Through the Looking Glass,2016-05-25,170000000,299370084,113.0,6.5,1725,56.268916,129370084,0.76,2016,1
106,810,Shrek the Third,2007-05-17,160000000,798958165,93.0,6.0,2278,42.986467,638958165,3.99,2007,1
107,68735,Warcraft,2016-05-25,160000000,433677183,123.0,6.3,2268,63.148529,273677183,1.71,2016,1
108,87101,Terminator Genisys,2015-06-23,155000000,440603537,126.0,5.8,3631,202.042635,285603537,1.84,2015,1
109,10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-08-13,155000000,415686217,113.0,6.2,1514,49.661984,260686217,1.68,2010,1
110,676,Pearl Harbor,2001-05-21,140000000,449220945,183.0,6.6,1791,34.20669,309220945,2.21,2001,1
111,1858,Transformers,2007-06-27,150000000,709709780,144.0,6.6,4040,25.468493,559709780,3.73,2007,1
112,1966,Alexander,2004-11-21,155000000,167298192,175.0,5.6,927,39.019229,12298192,0.08,2004,1
113,675,Harry Potter and the Order of the Phoenix,2007-06-28,150000000,938212738,138.0,7.4,5494,78.144395,788212738,5.25,2007,1
114,674,Harry Potter and the Goblet of Fire,2005-11-05,150000000,895921036,157.0,7.5,5608,101.250416,745921036,4.97,2005,1
115,8960,Hancock,2008-07-01,150000000,624029371,92.0,6.2,2961,56.758411,474029371,3.16,2008,1
116,6479,I Am Legend,2007-12-14,150000000,585349010,101.0,6.9,4853,70.867401,435349010,2.9,2007,1
117,118,Charlie and the Chocolate Factory,2005-07-13,150000000,474968763,115.0,6.7,3624,53.905592,324968763,2.17,2005,1
118,2062,Ratatouille,2007-06-22,150000000,623722818,111.0,7.5,4369,65.677399,473722818,3.16,2007,1
119,272,Batman Begins,2005-06-10,150000000,374218673,140.0,7.5,7359,115.040024,224218673,1.49,2005,1
120,10527,Madagascar: Escape 2 Africa,2008-10-30,150000000,603900354,89.0,6.2,1810,44.141021,453900354,3.03,2008,1
121,18360,Night at the Museum: Battle of the Smithsonian,2009-05-20,150000000,413106170,105.0,5.9,1971,81.781591,263106170,1.75,2009,1
122,2080,X-Men Origins: Wolverine,2009-04-28,150000000,373062864,107.0,6.2,4021,5.954334,223062864,1.49,2009,1
123,605,The Matrix Revolutions,2003-11-05,150000000,424988211,129.0,6.4,3096,73.313918,274988211,1.83,2003,1
124,109445,Frozen,2013-11-27,150000000,1274219009,102.0,7.3,5295,165.125366,1124219009,7.49,2013,1
125,604,The Matrix Reloaded,2003-05-15,150000000,738599701,138.0,6.7,3443,70.78591,588599701,3.92,2003,1
126,76338,Thor: The Dark World,2013-10-29,170000000,644571402,112.0,6.8,4755,99.499595,474571402,2.79,2013,1
127,76341,Mad Max: Fury Road,2015-05-13,150000000,378858340,120.0,7.2,9427,434.278564,228858340,1.53,2015,1
128,13448,Angels & Demons,2009-05-13,150000000,356613439,138.0,6.5,2129,67.447636,206613439,1.38,2009,1
129,10195,Thor,2011-04-21,150000000,449326618,115.0,6.6,6525,86.493424,299326618,2.0,2011,1
130,13053,Bolt,2008-11-21,150000000,309979994,98.0,6.3,1750,41.845878,159979994,1.07,2008,1
131,19585,G-Force,2009-07-21,150000000,292817841,88.0,5.1,510,26.710398,142817841,0.95,2009,1
132,57165,Wrath of the Titans,2012-03-27,150000000,301000000,99.0,5.5,1431,44.927635,151000000,1.01,2012,1
133,62213,Dark Shadows,2012-05-08,150000000,245527149,113.0,5.7,2320,50.306728,95527149,0.64,2012,1
134,177677,Mission: Impossible - Rogue Nation,2015-07-23,150000000,682330139,131.0,7.1,3224,114.522237,532330139,3.55,2015,1
135,7978,The Wolfman,2010-02-11,150000000,0,102.0,5.5,549,21.214571,-150000000,-1.0,2010,0
136,5559,Bee Movie,2007-10-28,150000000,287594577,91.0,5.7,1171,29.332905,137594577,0.92,2007,1
137,49444,Kung Fu Panda 2,2011-05-25,150000000,665692281,91.0,6.7,1880,51.247321,515692281,3.44,2011,1
138,10196,The Last Airbender,2010-06-30,150000000,318502923,103.0,4.7,1151,33.769336,168502923,1.12,2010,1
139,956,Mission: Impossible III,2006-05-03,150000000,397850012,126.0,6.5,2028,63.079003,247850012,1.65,2006,1
140,117251,White House Down,2013-06-27,150000000,205366737,131.0,6.4,1891,39.004588,55366737,0.37,2013,1
141,50321,Mars Needs Moms,2011-03-09,150000000,38992758,88.0,5.5,199,12.362599,-111007242,-0.74,2011,0
142,11619,Flushed Away,2006-10-22,149000000,64459316,85.0,6.0,874,22.550135,-84540684,-0.57,2006,0
143,266647,Pan,2015-09-24,150000000,128388320,111.0,5.9,954,48.03528,-21611680,-0.14,2015,0
144,82703,Mr. Peabody & Sherman,2014-02-07,145000000,272912430,92.0,6.7,843,38.73494,127912430,0.88,2014,1
145,652,Troy,2004-05-13,175000000,497409852,163.0,6.9,2759,66.803149,322409852,1.84,2004,1
146,80321,Madagascar 3: Europe's Most Wanted,2012-06-06,145000000,746921274,93.0,6.4,1808,44.989192,601921274,4.15,2012,1
147,36669,Die Another Day,2002-11-17,140000000,431971116,133.0,5.8,1092,54.159392,291971116,2.09,2002,1
148,43074,Ghostbusters,2016-07-14,144000000,229147509,116.0,5.3,2142,66.21806,85147509,0.59,2016,1
149,95,Armageddon,1998-07-01,140000000,553799566,151.0,6.4,2482,58.485967,413799566,2.96,1998,1
150,608,Men in Black II,2002-07-03,140000000,441818803,88.0,6.0,3114,91.332849,301818803,2.16,2002,1
151,2310,Beowulf,2007-11-05,70000000,195735876,115.0,5.5,841,35.601665,125735876,1.8,2007,1
152,140300,Kung Fu Panda 3,2016-01-23,145000000,521170825,95.0,6.7,1603,56.747978,376170825,2.59,2016,1
153,56292,Mission: Impossible - Ghost Protocol,2011-12-07,145000000,694713380,133.0,6.8,3972,77.77477,549713380,3.79,2011,1
154,81188,Rise of the Guardians,2012-11-21,145000000,306941670,97.0,7.1,1922,61.788035,161941670,1.12,2012,1
155,7552,Fun with Dick and Jane,2005-12-21,100000000,202026112,90.0,5.9,627,25.159168,102026112,1.02,2005,1
156,616,The Last Samurai,2003-12-05,140000000,456758981,154.0,7.3,1895,52.341226,316758981,2.26,2003,1
157,147441,Exodus: Gods and Kings,2014-12-03,140000000,268031828,150.0,5.6,1921,101.599427,128031828,0.91,2014,1
158,13475,Star Trek,2009-05-06,150000000,385680446,127.0,7.4,4518,73.616808,235680446,1.57,2009,1
159,557,Spider-Man,2002-05-01,139000000,821708551,121.0,6.8,5265,82.502566,682708551,4.91,2002,1
160,82702,How to Train Your Dragon 2,2014-06-12,145000000,609123048,102.0,7.6,3106,100.21391,464123048,3.2,2014,1
161,205584,Gods of Egypt,2016-02-25,140000000,150680864,127.0,5.3,1277,56.257249,10680864,0.08,2016,1
162,10048,Stealth,2005-07-28,135000000,76932943,121.0,4.9,331,17.88953,-58067057,-0.43,2005,0
163,13183,Watchmen,2009-03-05,130000000,185258983,163.0,7.0,2811,64.798873,55258983,0.43,2009,1
164,944,Lethal Weapon 4,1998-07-10,140000000,285444603,127.0,6.3,767,24.855701,145444603,1.04,1998,1
165,1927,Hulk,2003-06-19,137000000,245360480,138.0,5.3,1533,34.981698,108360480,0.79,2003,1
166,72559,G.I. Joe: Retaliation,2013-03-26,130000000,371876278,110.0,5.4,3025,59.325589,241876278,1.86,2013,1
167,7364,Sahara,2005-04-06,130000000,119269486,124.0,5.7,434,21.605568,-10730514,-0.08,2005,0
168,2114,Final Fantasy: The Spirits Within,2001-07-02,137000000,85131830,106.0,5.9,433,26.074908,-51868170,-0.38,2001,0
169,1771,Captain America: The First Avenger,2011-07-22,140000000,370569774,124.0,6.6,7047,74.506246,230569774,1.65,2011,1
170,36643,The World Is Not Enough,1999-11-08,135000000,361832400,128.0,6.0,862,39.604363,226832400,1.68,1999,1
171,8619,Master and Commander: The Far Side of the World,2003-11-14,150000000,212011111,138.0,6.9,790,36.973031,62011111,0.41,2003,1
172,50620,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13,120000000,829000000,115.0,6.1,2553,99.687084,709000000,5.91,2012,1
173,65759,Happy Feet Two,2011-11-17,130000000,150406466,100.0,5.8,373,17.7735,20406466,0.16,2011,1
174,1724,The Incredible Hulk,2008-06-12,150000000,163712074,114.0,6.1,3021,62.898336,13712074,0.09,2008,1
175,267935,The BFG,2016-06-01,140000000,183345589,120.0,6.0,1000,44.19092,43345589,0.31,2016,1
176,281957,The Revenant,2015-12-25,135000000,532950503,156.0,7.3,6396,100.635882,397950503,2.95,2015,1
177,77950,Turbo,2013-07-11,135000000,282570682,96.0,6.1,1074,44.765377,147570682,1.09,2013,1
178,44896,Rango,2011-03-02,135000000,245724603,107.0,6.6,2051,29.91353,110724603,0.82,2011,1
179,270946,Penguins of Madagascar,2014-11-22,132000000,373552094,92.0,6.5,1346,84.366984,241552094,1.83,2014,1
180,2503,The Bourne Ultimatum,2007-08-03,70000000,442824138,115.0,7.3,2888,45.381501,372824138,5.33,2007,1
181,9502,Kung Fu Panda,2008-06-04,130000000,631744560,90.0,6.9,3145,84.689648,501744560,3.86,2008,1
182,102899,Ant-Man,2015-07-14,130000000,519311965,117.0,7.0,5880,120.09361,389311965,2.99,2015,1
183,101299,The Hunger Games: Catching Fire,2013-11-15,130000000,847423452,146.0,7.4,6495,76.310119,717423452,5.52,2013,1
184,228161,Home,2015-03-18,135000000,368871007,94.0,6.8,1519,63.473086,233871007,1.73,2015,1
185,74,War of the Worlds,2005-06-28,132000000,591739379,116.0,6.2,2322,48.572726,459739379,3.48,2005,1
186,8961,Bad Boys II,2003-07-18,130000000,273339556,147.0,6.3,1564,38.068736,143339556,1.1,2003,1
187,417859,Puss in Boots,2011-10-28,130000000,554987477,90.0,6.4,451,20.678787,424987477,3.27,2011,1
188,27576,Salt,2010-07-21,110000000,293329073,100.0,6.2,2093,48.829437,183329073,1.67,2010,1
189,86834,Noah,2014-03-20,125000000,362637473,139.0,5.6,2350,46.115758,237637473,1.9,2014,1
190,17578,The Adventures of Tintin,2011-10-25,130000000,371940071,107.0,6.7,2061,89.938296,241940071,1.86,2011,1
191,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,130000000,789804554,141.0,7.7,5877,79.679601,659804554,5.08,2004,1
192,6972,Australia,2008-11-18,130000000,49554002,165.0,6.3,694,28.840997,-80445998,-0.62,2008,0
193,82700,After Earth,2013-05-30,130000000,243843127,100.0,5.0,2532,42.840582,113843127,0.88,2013,1
194,10567,Dinosaur,2000-05-19,127500000,354248063,82.0,6.2,542,26.548594,226748063,1.78,2000,1
195,181533,Night at the Museum: Secret of the Tomb,2014-12-17,127000000,349424282,97.0,6.1,1851,115.597753,222424282,1.75,2014,1
196,38055,Megamind,2010-10-28,130000000,321887208,95.0,6.7,1918,68.757242,191887208,1.48,2010,1
197,671,Harry Potter and the Philosopher's Stone,2001-11-16,125000000,976475550,152.0,7.5,7006,109.984351,851475550,6.81,2001,1
198,49524,R.I.P.D.,2013-07-18,130000000,61648500,96.0,5.4,1260,39.448066,-68351500,-0.53,2013,0
199,22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,140000000,655011224,143.0,7.5,6985,271.972889,515011224,3.68,2003,1
200,131631,The Hunger Games: Mockingjay - Part 1,2014-11-18,125000000,752100229,123.0,6.6,5584,206.227151,627100229,5.02,2014,1
201,591,The Da Vinci Code,2006-05-17,125000000,767820459,149.0,6.5,2704,45.313197,642820459,5.14,2006,1
202,172385,Rio 2,2014-03-19,103000000,500188435,102.0,6.3,978,42.40024,397188435,3.86,2014,1
203,36658,X2,2003-04-24,110000000,407711549,133.0,6.8,3506,2.871739,297711549,2.71,2003,1
204,51497,Fast Five,2011-04-20,125000000,626137675,130.0,7.1,2438,7.255718,501137675,4.01,2011,1
205,58574,Sherlock Holmes: A Game of Shadows,2011-11-22,125000000,334615000,129.0,7.0,3886,81.499621,209615000,1.68,2011,1
206,18823,Clash of the Titans,2010-04-01,125000000,232713139,106.0,5.6,2233,47.686442,107713139,0.86,2010,1
207,861,Total Recall,1990-06-01,65000000,261317921,113.0,7.1,1710,43.129703,196317921,3.02,1990,1
208,1911,The 13th Warrior,1999-08-27,160000000,61698899,102.0,6.4,510,27.220157,-98301101,-0.61,1999,0
209,49040,The Bourne Legacy,2012-08-08,130000000,276572938,120.0,6.0,2651,90.33681,146572938,1.13,2012,1
210,415,Batman & Robin,1997-06-20,125000000,238207122,125.0,4.2,1418,50.073575,113207122,0.91,1997,1
211,8871,How the Grinch Stole Christmas,2000-11-17,123000000,345141403,104.0,6.2,1386,45.419668,222141403,1.81,2000,1
212,435,The Day After Tomorrow,2004-05-26,125000000,544272402,124.0,6.2,2392,41.380094,419272402,3.35,2004,1
213,955,Mission: Impossible II,2000-05-24,125000000,546388105,123.0,5.9,1928,54.931334,421388105,3.37,2000,1
214,2133,The Perfect Storm,2000-03-15,120000000,325756637,130.0,6.2,597,25.752118,205756637,1.71,2000,1
215,1979,4: Rise of the Silver Surfer,2007-06-13,130000000,289047763,92.0,5.4,2589,60.810723,159047763,1.22,2007,1
216,87827,Life of Pi,2012-11-20,120000000,609016565,127.0,7.2,5797,51.328145,489016565,4.08,2012,1
217,1250,Ghost Rider,2007-02-16,110000000,228738393,114.0,5.2,1712,46.834704,118738393,1.08,2007,1
218,324668,Jason Bourne,2016-07-27,120000000,415484914,123.0,5.9,2341,62.641286,295484914,2.46,2016,1
219,9471,Charlie's Angels: Full Throttle,2003-06-27,120000000,259175788,106.0,5.2,914,33.616115,139175788,1.16,2003,1
220,70981,Prometheus,2012-05-30,130000000,403170142,124.0,6.3,5080,68.889395,273170142,2.1,2012,1
221,10996,Stuart Little 2,2002-07-19,120000000,169956806,78.0,5.4,613,27.990284,49956806,0.42,2002,1
222,68724,Elysium,2013-08-07,115000000,286140700,109.0,6.4,3439,67.33767,171140700,1.49,2013,1
223,2789,The Chronicles of Riddick,2004-06-11,105000000,115772733,119.0,6.3,1570,27.835436,10772733,0.1,2004,1
224,97020,RoboCop,2014-01-30,120000000,242688965,102.0,5.7,2342,66.757869,122688965,1.02,2014,1
225,7459,Speed Racer,2008-05-09,120000000,93945766,135.0,5.7,354,17.060695,-26054234,-0.22,2008,0
226,42888,How Do You Know,2010-12-17,120000000,48668907,121.0,4.9,223,11.137655,-71331093,-0.59,2010,0
227,37834,Knight and Day,2010-06-15,117000000,261930431,109.0,5.9,1547,44.906918,144930431,1.24,2010,1
228,75612,Oblivion,2013-04-10,120000000,286168572,124.0,6.4,4800,67.698004,166168572,1.38,2013,1
229,1895,Star Wars: Episode III - Revenge of the Sith,2005-05-17,113000000,850000000,140.0,7.1,4116,44.108427,737000000,6.52,2005,1
230,1894,Star Wars: Episode II - Attack of the Clones,2002-05-15,120000000,649398328,142.0,6.4,3992,43.987061,529398328,4.41,2002,1
231,585,"Monsters, Inc.",2001-11-01,115000000,562816256,92.0,7.5,5996,106.815545,447816256,3.89,2001,1
232,76170,The Wolverine,2013-07-23,120000000,415440673,126.0,6.3,4053,15.953444,295440673,2.46,2013,1
233,1893,Star Wars: Episode I - The Phantom Menace,1999-05-19,115000000,924317558,136.0,6.3,4432,54.035265,809317558,7.04,1999,1
234,49519,The Croods,2013-03-20,135000000,585178928,98.0,6.8,2399,64.183321,450178928,3.33,2013,1
